Ref_Date,GEO,CLS,CAPACITY,Vector,Coordinate,Value
2009,Nova Scotia,"Electricity producer, private electric utilities",Total installed capacity,v53518035,4.3.1,2416875.0
2010,Nova Scotia,"Electricity producer, private electric utilities",Total installed capacity,v53518035,4.3.1,2544375.0
2011,Nova Scotia,"Electricity producer, private electric utilities",Total installed capacity,v53518035,4.3.1,2530605.0
2012,Nova Scotia,"Electricity producer, private electric utilities",Total installed capacity,v53518035,4.3.1,..
2013,Nova Scotia,"Electricity producer, private electric utilities",Total installed capacity,v53518035,4.3.1,2605955.0
2014,Nova Scotia,"Electricity producer, private electric utilities",Total installed capacity,v53518035,4.3.1,2605955.0
2015,Nova Scotia,"Electricity producer, private electric utilities",Total installed capacity,v53518035,4.3.1,2617455.0
2006,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,398750.0
2007,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,398750.0
2008,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,398750.0
2009,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,398750.0
2010,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,368750.0
2011,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,370580.0
2012,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,..
2013,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,370580.0
2014,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,370580.0
2015,Nova Scotia,"Electricity producer, private electric utilities",Hydraulic turbine,v53518036,4.3.2,370580.0
2006,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,49260.0
2007,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,61710.0
2008,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,58310.0
2009,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,35460.0
2010,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,192960.0
2011,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,177360.0
2012,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,..
2013,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,289010.0
2014,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,289010.0
2015,Nova Scotia,"Electricity producer, private electric utilities",Wind power turbine,v53518037,4.3.3,300510.0
2006,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,3700.0
2007,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2008,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2009,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2010,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2011,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2012,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,..
2013,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2014,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2015,Nova Scotia,"Electricity producer, private electric utilities",Tidal power turbine,v53518038,4.3.4,20000.0
2006,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1962665.0
2007,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1962665.0
2008,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1962665.0
2009,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1962665.0
2010,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1962665.0
2011,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1962665.0
2012,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,..
2013,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1926365.0
2014,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1926365.0
2015,Nova Scotia,"Electricity producer, private electric utilities",Total thermal,v53518039,4.3.6,1926365.0
2006,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1642365.0
2007,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1642365.0
2008,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1642365.0
2009,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1642365.0
2010,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1642365.0
2011,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1642365.0
2012,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,..
2013,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1606365.0
2014,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1606365.0
2015,Nova Scotia,"Electricity producer, private electric utilities",Conventional steam turbine,v53518040,4.3.7,1606365.0
2006,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320300.0
2007,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320300.0
2008,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320300.0
2009,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320300.0
2010,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320300.0
2011,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320300.0
2012,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,..
2013,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320000.0
2014,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320000.0
2015,Nova Scotia,"Electricity producer, private electric utilities",Combustion turbine,v53518041,4.3.9,320000.0
2006,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,48760.0
2007,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,48760.0
2008,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,48760.0
2009,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,48760.0
2010,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,48760.0
2011,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,48760.0
2012,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,..
2013,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,43760.0
2014,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,43760.0
2015,Nova Scotia,"Electricity producer, industries",Total installed capacity,v53518042,4.4.1,43760.0
2006,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,5000.0
2007,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,5000.0
2008,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,5000.0
2009,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,5000.0
2010,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,5000.0
2011,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,5000.0
2012,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,..
2013,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,..
2014,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,..
2015,Nova Scotia,"Electricity producer, industries",Hydraulic turbine,v53518043,4.4.2,..
2006,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2007,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2008,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2009,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2010,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2011,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2012,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,..
2013,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2014,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2015,Nova Scotia,"Electricity producer, industries",Total thermal,v53518044,4.4.6,43760.0
2006,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2007,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2008,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2009,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2010,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2011,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2012,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,..
2013,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2014,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2015,Nova Scotia,"Electricity producer, industries",Conventional steam turbine,v53518045,4.4.7,43760.0
2006,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4474108.0
2007,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4533808.0
2008,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4612208.0
2009,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,3945668.0
2010,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4045348.0
2011,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4630088.0
2012,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,..
2013,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4282388.0
2014,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4501488.0
2015,New Brunswick,Total all classes of electricity producer,Total installed capacity,v53518046,5.1.1,4505188.0
2006,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,933770.0
2007,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,933470.0
2008,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,933470.0
2009,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,949430.0
2010,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,947110.0
2011,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,950550.0
2012,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,..
2013,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,950550.0
2014,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,950050.0
2015,New Brunswick,Total all classes of electricity producer,Hydraulic turbine,v53518048,5.1.2,951750.0
2007,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,0.0
2008,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,96000.0
2009,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,96000.0
2010,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,249000.0
2011,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,150000.0
2012,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,..
2013,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,195000.0
2014,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,294000.0
2015,New Brunswick,Total all classes of electricity producer,Wind power turbine,v53518049,5.1.3,294000.0
2006,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,3540338.0
2007,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,3600338.0
2008,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,3582738.0
2009,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,2900238.0
2010,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,2849238.0
2011,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,3529538.0
2012,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,..
2013,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,3136838.0
2014,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,3257438.0
2015,New Brunswick,Total all classes of electricity producer,Total thermal,v53518050,5.1.6,3259438.0
2006,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,2088800.0
2007,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,2148800.0
2008,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,2131200.0
2009,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,2118700.0
2010,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,2067700.0
2011,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,2067700.0
2012,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,..
2013,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,1652000.0
2014,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,1752000.0
2015,New Brunswick,Total all classes of electricity producer,Conventional steam turbine,v53518051,5.1.7,1752000.0
2006,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,680000.0
2007,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,680000.0
2008,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,680000.0
2009,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,..
2010,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,..
2011,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,680000.0
2012,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,..
2013,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,705000.0
2014,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,705000.0
2015,New Brunswick,Total all classes of electricity producer,Nuclear steam turbine,v53518052,5.1.8,705000.0
2006,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,768700.0
2007,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,768700.0
2008,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,768700.0
2009,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,778700.0
2010,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,778700.0
2011,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,779000.0
2012,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,..
2013,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,777000.0
2014,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,797000.0
2015,New Brunswick,Total all classes of electricity producer,Combustion turbine,v53518053,5.1.9,797000.0
2006,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,2838.0
2007,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,2838.0
2008,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,2838.0
2009,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,2838.0
2010,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,2838.0
2011,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,2838.0
2012,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,..
2013,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,2838.0
2014,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,3438.0
2015,New Brunswick,Total all classes of electricity producer,Internal combustion turbine,v53518047,5.1.10,5438.0
2006,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,4024368.0
2007,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,4034868.0
2008,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,4034868.0
2009,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,3342368.0
2010,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,3388048.0
2011,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,3972788.0
2012,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,..
2013,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,3679788.0
2014,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,3679288.0
2015,New Brunswick,"Electricity producer, public electric utilities",Total installed capacity,v53518054,5.2.1,3679288.0
2006,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,891330.0
2007,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,901830.0
2008,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,901830.0
2009,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,901830.0
2010,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,899510.0
2011,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,902950.0
2012,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,..
2013,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,902950.0
2014,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,902450.0
2015,New Brunswick,"Electricity producer, public electric utilities",Hydraulic turbine,v53518056,5.2.2,902450.0
2007,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,0.0
2008,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,..
2009,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,..
2010,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,99000.0
2011,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,..
2012,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,..
2013,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,..
2014,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,..
2015,New Brunswick,"Electricity producer, public electric utilities",Wind power turbine,v54259662,5.2.3,..
2006,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,3133038.0
2007,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,3133038.0
2008,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,3133038.0
2009,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,2440538.0
2010,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,2389538.0
2011,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,3069838.0
2012,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,..
2013,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,2776838.0
2014,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,2776838.0
2015,New Brunswick,"Electricity producer, public electric utilities",Total thermal,v53518057,5.2.6,2776838.0
2006,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1921500.0
2007,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1921500.0
2008,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1921500.0
2009,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1909000.0
2010,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1858000.0
2011,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1858000.0
2012,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,..
2013,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1540000.0
2014,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1540000.0
2015,New Brunswick,"Electricity producer, public electric utilities",Conventional steam turbine,v53518058,5.2.7,1540000.0
2006,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,680000.0
2007,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,680000.0
2008,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,680000.0
2009,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,..
2010,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,..
2011,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,680000.0
2012,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,..
2013,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,705000.0
2014,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,705000.0
2015,New Brunswick,"Electricity producer, public electric utilities",Nuclear steam turbine,v53518059,5.2.8,705000.0
2006,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,528700.0
2007,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,528700.0
2008,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,528700.0
2009,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,528700.0
2010,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,528700.0
2011,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,529000.0
2012,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,..
2013,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,529000.0
2014,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,529000.0
2015,New Brunswick,"Electricity producer, public electric utilities",Combustion turbine,v53518060,5.2.9,529000.0
2006,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2007,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2008,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2009,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2010,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2011,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2012,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,..
2013,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2014,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2015,New Brunswick,"Electricity producer, public electric utilities",Internal combustion turbine,v53518055,5.2.10,2838.0
2006,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,371640.0
2007,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,371640.0
2008,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,467640.0
2009,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,493600.0
2010,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,547600.0
2011,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,547600.0
2012,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,..
2013,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,490600.0
2014,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,709600.0
2015,New Brunswick,"Electricity producer, private electric utilities",Total installed capacity,v53518061,5.3.1,711300.0
2006,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,31640.0
2007,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,31640.0
2008,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,31640.0
2009,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,47600.0
2010,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,47600.0
2011,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,47600.0
2012,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,..
2013,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,47600.0
2014,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,47600.0
2015,New Brunswick,"Electricity producer, private electric utilities",Hydraulic turbine,v53518062,5.3.2,49300.0
2007,New Brunswick,"Electricity producer, private electric utilities",Wind power turbine,v53518063,5.3.3,0.0
2008,New Brunswick,"Electricity producer, private electric utilities",Wind power turbine,v53518063,5.3.3,96000.0
